image_path,Strain_Energy
18.82.png,1238
18.207.png,1264
18.464.png,1220
18.65.png,1224
18.56.png,1228
18.142.png,1214
18.55.png,1250
18.110.png,1205
18.239.png,1233
18.310.png,1247
18.396.png,1202
18.79.png,1249
18.227.png,1193
18.459.png,1205
18.418.png,1171
18.244.png,1206
18.190.png,1239
18.243.png,1194
18.200.png,1239
18.147.png,1248
18.271.png,1223
18.412.png,1240
18.391.png,1170
18.177.png,1228
18.62.png,1046
18.298.png,1250
18.434.png,1236
18.424.png,1226
18.175.png,1174
18.30.png,1198
18.78.png,1222
18.40.png,1024
18.440.png,1218
18.87.png,1239
18.229.png,1228
18.333.png,1200
18.22.png,1264
18.4.png,1210
18.466.png,1256
18.181.png,1217
18.11.png,1231
18.300.png,1185
18.196.png,1231
18.371.png,1203
18.414.png,1222
18.361.png,1214
18.137.png,1244
18.380.png,1217
18.136.png,1264
18.309.png,1244
18.285.png,1232
18.54.png,1048
18.93.png,1212
18.267.png,1245
18.10.png,1080
18.134.png,1234
18.327.png,1203
18.368.png,1223
18.103.png,1212
18.326.png,1261
18.249.png,1208
18.45.png,1053
18.125.png,1243
18.358.png,1259
18.152.png,1261
18.28.png,1052
18.446.png,1204
18.460.png,1223
18.252.png,1199
18.68.png,1045
18.376.png,1247
18.335.png,1191
18.204.png,1238
18.294.png,1213
18.215.png,1207
18.108.png,1214
18.382.png,1208
18.187.png,1227
18.405.png,1199
18.26.png,1014
18.436.png,1197
18.454.png,1250
18.302.png,1195
18.138.png,1198
18.8.png,1207
18.403.png,1224
18.109.png,1142
18.337.png,1218
18.323.png,1202
18.116.png,1187
18.398.png,1212
18.356.png,1245
18.260.png,1207
18.431.png,1224
18.194.png,1244
18.222.png,1215
18.24.png,1242
18.205.png,1234
18.231.png,1210
18.180.png,1228
18.277.png,1236
18.113.png,1219
18.350.png,1231
18.209.png,1218
18.2.png,1242
18.158.png,1197
18.163.png,1174
18.37.png,1084
18.415.png,1217
18.112.png,1239
18.261.png,1188
18.289.png,1157
18.372.png,1255
18.329.png,1233
18.233.png,1217
18.341.png,1163
18.122.png,1197
18.208.png,1254
18.48.png,1080
18.457.png,1196
18.410.png,1243
18.384.png,1247
18.9.png,1192
18.445.png,1265
18.413.png,1204
18.223.png,1202
18.173.png,1230
18.291.png,1228
18.441.png,1188
18.151.png,1237
18.314.png,1202
18.290.png,1232
18.236.png,1223
18.288.png,1218
18.467.png,1237
18.438.png,1242
18.127.png,1203
18.423.png,1191
18.64.png,1037
18.168.png,1228
18.313.png,1222
18.29.png,1214
18.183.png,1223
18.170.png,1256
18.386.png,1194
18.35.png,1217
18.217.png,1220
18.41.png,1210
18.6.png,1160
18.342.png,1220
18.76.png,1187
18.155.png,1215
18.75.png,1225
18.345.png,1220
18.23.png,1171
18.77.png,1242
18.338.png,1202
18.184.png,1222
18.140.png,1257
18.44.png,1001
18.339.png,1215
18.16.png,994
18.439.png,1209
18.99.png,1183
18.133.png,1275
18.238.png,1202
18.462.png,1233
18.286.png,1232
18.191.png,1220
18.270.png,1231
18.287.png,1247
18.388.png,1254
18.449.png,1220
18.67.png,1035
18.3.png,1074
18.268.png,1222
18.179.png,1201
18.319.png,1227
18.214.png,1210
18.351.png,1216
18.416.png,1241
18.61.png,1031
18.83.png,1228
18.242.png,1225
18.387.png,1218
18.282.png,1255
18.399.png,1207
18.15.png,1068
18.422.png,1198
18.468.png,1240
18.50.png,1066
18.389.png,1225
18.121.png,1248
18.185.png,1243
18.95.png,1211
18.31.png,1211
18.241.png,1245
18.420.png,1229
18.430.png,1241
18.453.png,1162
18.461.png,1243
18.49.png,1081
18.379.png,1219
18.375.png,1220
18.320.png,1209
18.435.png,1212
18.325.png,1183
18.378.png,1231
18.266.png,1244
18.406.png,1221
18.324.png,1227
18.74.png,1225
18.182.png,1218
18.311.png,1253
18.228.png,1207
18.258.png,1245
18.428.png,1240
18.455.png,1221
18.301.png,1228
18.340.png,1209
18.39.png,1227
18.346.png,1194
18.274.png,1213
18.188.png,1259
18.347.png,1218
18.357.png,1219
18.27.png,1234
18.293.png,1211
18.343.png,1208
18.225.png,1245
18.407.png,1158
18.59.png,1037
18.89.png,1194
18.395.png,1226
18.178.png,1245
18.363.png,1221
18.101.png,1257
18.262.png,1233
18.465.png,1237
18.284.png,1239
18.203.png,1228
18.426.png,1208
18.17.png,982
18.383.png,1229
18.117.png,1233
18.246.png,1211
18.444.png,1186
18.265.png,1224
18.279.png,1217
18.433.png,1200
18.57.png,1224
18.197.png,1185
18.224.png,1223
18.257.png,1225
18.201.png,1198
18.281.png,1239
18.71.png,1213
18.220.png,1202
18.96.png,1214
18.146.png,1214
18.332.png,1220
18.63.png,1212
18.269.png,1266
18.36.png,1033
18.390.png,1214
18.169.png,1186
18.13.png,1237
18.210.png,1201
18.237.png,1191
18.43.png,1047
18.240.png,1226
18.128.png,1245
18.47.png,1037
18.38.png,1238
18.92.png,1236
18.86.png,1224
18.21.png,1001
18.141.png,1218
18.102.png,1222
18.355.png,1244
18.157.png,1192
18.296.png,1212
18.394.png,1257
18.352.png,1193
18.364.png,1261
18.58.png,1016
18.245.png,1227
18.456.png,1195
18.366.png,1221
18.432.png,1194
18.84.png,1236
18.107.png,1192
18.111.png,1217
18.417.png,1200
18.218.png,1241
18.374.png,1235
18.91.png,1196
18.73.png,1254
18.250.png,1240
18.216.png,1214
18.115.png,1199
18.248.png,1215
18.316.png,1236
18.213.png,1228
18.385.png,1217
18.66.png,1226
18.344.png,1217
18.5.png,1173
18.273.png,1212
18.401.png,1229
18.119.png,1243
18.72.png,1205
18.97.png,1225
18.448.png,1238
18.189.png,1253
18.118.png,1210
18.458.png,1217
18.359.png,1201
18.52.png,1206
25.45.png,925
25.434.png,1119
25.309.png,977
25.257.png,987
25.269.png,1094
25.145.png,1091
25.292.png,997
25.492.png,1023
25.357.png,931
25.222.png,1004
25.62.png,994
25.483.png,975
25.81.png,1056
25.128.png,937
25.448.png,1089
25.11.png,1068
25.320.png,1031
25.409.png,1130
25.354.png,890
25.381.png,1010
25.246.png,1024
25.188.png,1067
25.423.png,1207
25.322.png,1064
25.463.png,1039
25.235.png,936
25.388.png,1060
25.137.png,1059
25.462.png,979
25.87.png,1135
25.46.png,1095
25.368.png,1085
25.458.png,1020
25.209.png,898
25.379.png,1002
25.457.png,977
25.114.png,1015
25.296.png,996
25.31.png,996
25.429.png,1053
25.285.png,1049
25.299.png,1133
25.312.png,945
25.370.png,1010
25.57.png,1126
25.460.png,1091
25.271.png,1013
25.230.png,973
25.187.png,1024
25.161.png,1038
25.44.png,1057
25.435.png,1078
25.333.png,1037
25.58.png,984
25.181.png,910
25.439.png,987
25.8.png,965
25.206.png,1042
25.151.png,992
25.474.png,847
25.263.png,926
25.123.png,1005
25.477.png,1025
25.35.png,923
25.232.png,1049
25.341.png,1070
25.212.png,1001
25.34.png,1016
25.61.png,968
25.18.png,1041
25.297.png,1130
25.86.png,1025
25.226.png,946
25.485.png,1038
25.190.png,1026
25.251.png,1043
25.275.png,976
25.79.png,1004
25.196.png,923
25.163.png,1054
25.378.png,1104
25.335.png,1129
25.95.png,990
25.39.png,1023
25.56.png,1091
25.207.png,1051
25.91.png,992
25.117.png,1147
25.445.png,1036
25.431.png,1007
25.121.png,1049
25.229.png,1067
25.395.png,1073
25.178.png,968
25.404.png,864
